"	SS	X	X	O
용인	NNP	X	X	A
천주교	NNG	X	X	A
공원묘지	NNG	X	X	A
"	SS	X	X	O
를	JKO	X	X	O
비롯	XR	X	X	O
한	XSA	X	X	O
국내	NNG	X	X	O
모든	MM	X	X	O
천주교	NNG	X	X	O
묘지	NNG	X	X	O
에	JKB	X	X	O
"	SS	X	X	O
계약서	NNG	X	X	O
"	SS	X	X	O
를	JKO	X	X	O
받	VV	X	X	O
지	EC	X	X	O
못하	VX	X	X	O
고	EC	X	X	O
"	SS	X	X	O
사용	NNG	X	X	O
허가	NNG	X	X	O
서	JKB	X	X	O
"	SS	X	X	O
만	NR	X	X	O
으로	JKB	X	X	O
계약	NNG	X	X	O
하	VV	X	X	O
시	EP	X	X	O
었	EP	X	X	O
거나	EC	X	X	O
"	SS	X	X	O
관리비	NNG	X	X	O
청구서	NNG	X	X	O
"	SS	X	X	O
를	JKO	X	X	O
받	VV	X	X	O
지	EC	X	X	O
못하	VX	X	X	O
신	EP	X	X	O
분	NNB	X	X	O
들	XSN	X	X	O
을	JKO	X	X	O
찾	VV	X	X	O
습니다	EF	X	X	O
.	SF	X	X	O
RT	SL	X	X	O
해	NNG	X	X	O
주	VX	X	X	O
시	EP	X	X	O
어요	EC	X	X	O
^	SW	X	X	O
^	SW	X	X	O
,	SP	X	X	O
.	SF	X	X	O
/	SP	X	X	O
,	SP	X	X	O
.	SF	X	X	O
Study	SL	X	X	O
Hard	SL	X	X	O
(	SS	X	X	O
at	SL	X	X	O
한국외국어대학교	NNP	X	X	A
(	SS	X	X	O
Hankuk	SL	X	X	O
University	SL	X	X	O
of	SL	X	X	O
Foreign	SL	X	X	O
Studies	SL	X	X	O
)	SS	X	X	O
)	SS	X	X	O
[	SS	X	X	O
pic	SL	X	X	O
]	SS	X	X	O
?	SF	X	X	O
I	SL	X	X	O
'	SS	X	X	O
m	SL	X	X	O
at	SL	X	X	O
모꼬지	NNP	P	P	A
에	JKB	P	P	A
in	SL	X	X	O
서울특별시	NNP	X	X	O
Day	SL	X	X	O
3	SN	X	X	O
?	SF	X	X	O
#	SW	X	X	O
adviantures	SL	X	X	O
@	SW	X	X	O
남대문시장	NNP	P	P	A
(	SS	X	X	O
Namdaemun	SL	X	X	O
Market	SL	X	X	O
)	SS	X	X	O
#	SW	X	X	O
lunch	SL	X	X	O
#	SW	X	X	O
#	SW	X	X	O
pizzahut	SL	X	X	O
#	SW	X	X	O
wowbox	SL	X	X	O
#	SW	X	X	O
회식	NNG	X	X	O
#	SW	X	X	O
동기	NNG	X	X	O
#	SW	X	X	O
점심	NNG	X	X	O
#	SW	X	X	O
피자헛	NNP	X	P	A
#	SW	X	X	O
와우	NNP	X	X	O
박스	NNG	X	X	O
#	SW	X	X	O
2	SN	X	X	O
차	NNB	X	X	O
#	SW	X	X	O
떡볶이	NNG	X	X	O
#	SW	X	X	O
배	NNG	X	X	O
부르	VV	X	X	O
어	EC	X	X	O
#	SW	X	X	O
오후	NNG	X	X	O
#	SW	X	X	O
낮잠	NNG	X	X	O
#	SW	X	X	O
먹	NNG	X	X	O
스타	NNG	X	X	O
그램	NNB	X	X	O
#	SW	X	X	O
맛스타	NNP	X	X	O
그램	NNB	X	X	O
…	SE	X	X	O
#	SW	X	X	O
119	SN	X	X	O
x	SL	X	X	O
13	SN	X	X	O
-	SS	X	X	O
0	SN	X	X	O
.	SF	X	X	O
8	SN	X	X	O
(	SS	X	X	O
@	SW	X	X	O
중구	NNP	X	P	A
국민	NNG	X	P	A
체육	NNG	X	P	A
센터	NNG	X	P	A
